;id;ts;x;y;sqre;temp;co;dopen;ts.u;x.u;y.u;temp.u;co.u;dopen.c
Home;1;1519772340;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772370;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772400;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772430;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772460;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772490;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772520;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772550;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772580;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772610;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772640;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772670;0;0;100;20;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772700;0;0;100;22;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772730;0;0;100;24;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772760;0;0;100;26;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772790;0;0;100;28;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772820;0;0;100;30;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772850;0;0;100;32;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772880;0;0;100;34;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772910;0;0;100;36;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772940;0;0;100;38;4000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519772970;0;0;100;40;6000;false;1;0,1;0,1;0,1;10;0,99
Home;1;1519773000;0;0;100;42;6000;false;1;0,1;0,1;0,1;10;0,99
