;ts;km
TrafficJam;1;1
TrafficJam;2;2
TrafficJam;3;3
TrafficJam;4;4
TrafficJam;5;5
TrafficJam;6;6
TrafficJam;7;7
TrafficJam;8;8
TrafficJam;9;9
TrafficJam;10;10
TrafficJam;11;11
TrafficJam;12;12
TrafficJam;13;13
TrafficJam;14;14
TrafficJam;15;15
TrafficJam;16;16
TrafficJam;17;17
TrafficJam;18;18
TrafficJam;19;19
TrafficJam;20;20
TrafficJam;21;21
TrafficJam;22;22
TrafficJam;23;23
TrafficJam;24;24
TrafficJam;25;25
TrafficJam;26;26
TrafficJam;27;27
TrafficJam;28;28
TrafficJam;29;29
TrafficJam;30;30
TrafficJam;31;31
TrafficJam;32;32
TrafficJam;33;33
TrafficJam;34;34
TrafficJam;35;35
TrafficJam;36;36
TrafficJam;37;37
TrafficJam;38;38
TrafficJam;39;39
TrafficJam;40;40
TrafficJam;41;41
TrafficJam;42;42
TrafficJam;43;43
TrafficJam;44;44
TrafficJam;45;45
TrafficJam;46;46
TrafficJam;47;47
TrafficJam;48;48
TrafficJam;49;49
TrafficJam;50;50
TrafficJam;51;51
TrafficJam;52;52
TrafficJam;53;53
TrafficJam;54;54
TrafficJam;55;55
TrafficJam;56;56
TrafficJam;57;57
TrafficJam;58;58
TrafficJam;59;59
TrafficJam;60;60
TrafficJam;61;61
TrafficJam;62;62
TrafficJam;63;63
TrafficJam;64;64
TrafficJam;65;65
TrafficJam;66;66
TrafficJam;67;67
TrafficJam;68;68
TrafficJam;69;69
TrafficJam;70;70
TrafficJam;71;71
TrafficJam;72;72
TrafficJam;73;73
TrafficJam;74;74
TrafficJam;75;75
TrafficJam;76;76
TrafficJam;77;77
TrafficJam;78;78
TrafficJam;79;79
TrafficJam;80;80
TrafficJam;81;81
TrafficJam;82;82
TrafficJam;83;83
TrafficJam;84;84
TrafficJam;85;85
TrafficJam;86;86
TrafficJam;87;87
TrafficJam;88;88
TrafficJam;89;89
TrafficJam;90;90
TrafficJam;91;91
TrafficJam;92;92
TrafficJam;93;93
TrafficJam;94;94
TrafficJam;95;95
TrafficJam;96;96
TrafficJam;97;97
TrafficJam;98;98
TrafficJam;99;99
TrafficJam;100;100
TrafficJam;101;1
TrafficJam;102;2
TrafficJam;103;3
TrafficJam;104;4
TrafficJam;105;5
TrafficJam;106;6
TrafficJam;107;7
TrafficJam;108;8
TrafficJam;109;9
TrafficJam;110;10
TrafficJam;111;11
TrafficJam;112;12
TrafficJam;113;13
TrafficJam;114;14
TrafficJam;115;15
TrafficJam;116;16
TrafficJam;117;17
TrafficJam;118;18
TrafficJam;119;19
TrafficJam;120;20
TrafficJam;121;21
TrafficJam;122;22
TrafficJam;123;23
TrafficJam;124;24
TrafficJam;125;25
TrafficJam;126;26
TrafficJam;127;27
TrafficJam;128;28
TrafficJam;129;29
TrafficJam;130;30
TrafficJam;131;31
TrafficJam;132;32
TrafficJam;133;33
TrafficJam;134;34
TrafficJam;135;35
TrafficJam;136;36
TrafficJam;137;37
TrafficJam;138;38
TrafficJam;139;39
TrafficJam;140;40
TrafficJam;141;41
TrafficJam;142;42
TrafficJam;143;43
TrafficJam;144;44
TrafficJam;145;45
TrafficJam;146;46
TrafficJam;147;47
TrafficJam;148;48
TrafficJam;149;49
TrafficJam;150;50
TrafficJam;151;51
TrafficJam;152;52
TrafficJam;153;53
TrafficJam;154;54
TrafficJam;155;55
TrafficJam;156;56
TrafficJam;157;57
TrafficJam;158;58
TrafficJam;159;59
TrafficJam;160;60
TrafficJam;161;61
TrafficJam;162;62
TrafficJam;163;63
TrafficJam;164;64
TrafficJam;165;65
TrafficJam;166;66
TrafficJam;167;67
TrafficJam;168;68
TrafficJam;169;69
TrafficJam;170;70
TrafficJam;171;71
TrafficJam;172;72
TrafficJam;173;73
TrafficJam;174;74
TrafficJam;175;75
TrafficJam;176;76
TrafficJam;177;77
TrafficJam;178;78
TrafficJam;179;79
TrafficJam;180;80
TrafficJam;181;81
TrafficJam;182;82
TrafficJam;183;83
TrafficJam;184;84
TrafficJam;185;85
TrafficJam;186;86
TrafficJam;187;87
TrafficJam;188;88
TrafficJam;189;89
TrafficJam;190;90
TrafficJam;191;91
TrafficJam;192;92
TrafficJam;193;93
TrafficJam;194;94
TrafficJam;195;95
TrafficJam;196;96
TrafficJam;197;97
TrafficJam;198;98
TrafficJam;199;99
TrafficJam;200;100
TrafficJam;201;1
TrafficJam;202;2
TrafficJam;203;3
TrafficJam;204;4
TrafficJam;205;5
TrafficJam;206;6
TrafficJam;207;7
TrafficJam;208;8
TrafficJam;209;9
TrafficJam;210;10
TrafficJam;211;11
TrafficJam;212;12
TrafficJam;213;13
TrafficJam;214;14
TrafficJam;215;15
TrafficJam;216;16
TrafficJam;217;17
TrafficJam;218;18
TrafficJam;219;19
TrafficJam;220;20
TrafficJam;221;21
TrafficJam;222;22
TrafficJam;223;23
TrafficJam;224;24
TrafficJam;225;25
TrafficJam;226;26
TrafficJam;227;27
TrafficJam;228;28
TrafficJam;229;29
TrafficJam;230;30
TrafficJam;231;31
TrafficJam;232;32
TrafficJam;233;33
TrafficJam;234;34
TrafficJam;235;35
TrafficJam;236;36
TrafficJam;237;37
TrafficJam;238;38
TrafficJam;239;39
TrafficJam;240;40
TrafficJam;241;41
TrafficJam;242;42
TrafficJam;243;43
TrafficJam;244;44
TrafficJam;245;45
TrafficJam;246;46
TrafficJam;247;47
TrafficJam;248;48
TrafficJam;249;49
TrafficJam;250;50
TrafficJam;251;51
TrafficJam;252;52
TrafficJam;253;53
TrafficJam;254;54
TrafficJam;255;55
TrafficJam;256;56
TrafficJam;257;57
TrafficJam;258;58
TrafficJam;259;59
TrafficJam;260;60
TrafficJam;261;61
TrafficJam;262;62
TrafficJam;263;63
TrafficJam;264;64
TrafficJam;265;65
TrafficJam;266;66
TrafficJam;267;67
TrafficJam;268;68
TrafficJam;269;69
TrafficJam;270;70
TrafficJam;271;71
TrafficJam;272;72
TrafficJam;273;73
TrafficJam;274;74
TrafficJam;275;75
TrafficJam;276;76
TrafficJam;277;77
TrafficJam;278;78
TrafficJam;279;79
TrafficJam;280;80
TrafficJam;281;81
TrafficJam;282;82
TrafficJam;283;83
TrafficJam;284;84
TrafficJam;285;85
TrafficJam;286;86
TrafficJam;287;87
TrafficJam;288;88
TrafficJam;289;89
TrafficJam;290;90
TrafficJam;291;91
TrafficJam;292;92
TrafficJam;293;93
TrafficJam;294;94
TrafficJam;295;95
TrafficJam;296;96
TrafficJam;297;97
TrafficJam;298;98
TrafficJam;299;99
TrafficJam;300;100
TrafficJam;301;1
TrafficJam;302;2
TrafficJam;303;3
TrafficJam;304;4
TrafficJam;305;5
TrafficJam;306;6
TrafficJam;307;7
TrafficJam;308;8
TrafficJam;309;9
TrafficJam;310;10
TrafficJam;311;11
TrafficJam;312;12
TrafficJam;313;13
TrafficJam;314;14
TrafficJam;315;15
TrafficJam;316;16
TrafficJam;317;17
TrafficJam;318;18
TrafficJam;319;19
TrafficJam;320;20
TrafficJam;321;21
TrafficJam;322;22
TrafficJam;323;23
TrafficJam;324;24
TrafficJam;325;25
TrafficJam;326;26
TrafficJam;327;27
TrafficJam;328;28
TrafficJam;329;29
TrafficJam;330;30
TrafficJam;331;31
TrafficJam;332;32
TrafficJam;333;33
TrafficJam;334;34
TrafficJam;335;35
TrafficJam;336;36
TrafficJam;337;37
TrafficJam;338;38
TrafficJam;339;39
TrafficJam;340;40
TrafficJam;341;41
TrafficJam;342;42
TrafficJam;343;43
TrafficJam;344;44
TrafficJam;345;45
TrafficJam;346;46
TrafficJam;347;47
TrafficJam;348;48
TrafficJam;349;49
TrafficJam;350;50
TrafficJam;351;51
TrafficJam;352;52
TrafficJam;353;53
TrafficJam;354;54
TrafficJam;355;55
TrafficJam;356;56
TrafficJam;357;57
TrafficJam;358;58
TrafficJam;359;59
TrafficJam;360;60
TrafficJam;361;61
TrafficJam;362;62
TrafficJam;363;63
TrafficJam;364;64
TrafficJam;365;65
TrafficJam;366;66
TrafficJam;367;67
TrafficJam;368;68
TrafficJam;369;69
TrafficJam;370;70
TrafficJam;371;71
TrafficJam;372;72
TrafficJam;373;73
TrafficJam;374;74
TrafficJam;375;75
TrafficJam;376;76
TrafficJam;377;77
TrafficJam;378;78
TrafficJam;379;79
TrafficJam;380;80
TrafficJam;381;81
TrafficJam;382;82
TrafficJam;383;83
TrafficJam;384;84
TrafficJam;385;85
TrafficJam;386;86
TrafficJam;387;87
TrafficJam;388;88
TrafficJam;389;89
TrafficJam;390;90
TrafficJam;391;91
TrafficJam;392;92
TrafficJam;393;93
TrafficJam;394;94
TrafficJam;395;95
TrafficJam;396;96
TrafficJam;397;97
TrafficJam;398;98
TrafficJam;399;99
TrafficJam;400;100
TrafficJam;401;1
TrafficJam;402;2
TrafficJam;403;3
TrafficJam;404;4
TrafficJam;405;5
TrafficJam;406;6
TrafficJam;407;7
TrafficJam;408;8
TrafficJam;409;9
TrafficJam;410;10
TrafficJam;411;11
TrafficJam;412;12
TrafficJam;413;13
TrafficJam;414;14
TrafficJam;415;15
TrafficJam;416;16
TrafficJam;417;17
TrafficJam;418;18
TrafficJam;419;19
TrafficJam;420;20
TrafficJam;421;21
TrafficJam;422;22
TrafficJam;423;23
TrafficJam;424;24
TrafficJam;425;25
TrafficJam;426;26
TrafficJam;427;27
TrafficJam;428;28
TrafficJam;429;29
TrafficJam;430;30
TrafficJam;431;31
TrafficJam;432;32
TrafficJam;433;33
TrafficJam;434;34
TrafficJam;435;35
TrafficJam;436;36
TrafficJam;437;37
TrafficJam;438;38
TrafficJam;439;39
TrafficJam;440;40
TrafficJam;441;41
TrafficJam;442;42
TrafficJam;443;43
TrafficJam;444;44
TrafficJam;445;45
TrafficJam;446;46
TrafficJam;447;47
TrafficJam;448;48
TrafficJam;449;49
TrafficJam;450;50
TrafficJam;451;51
TrafficJam;452;52
TrafficJam;453;53
TrafficJam;454;54
TrafficJam;455;55
TrafficJam;456;56
TrafficJam;457;57
TrafficJam;458;58
TrafficJam;459;59
TrafficJam;460;60
TrafficJam;461;61
TrafficJam;462;62
TrafficJam;463;63
TrafficJam;464;64
TrafficJam;465;65
TrafficJam;466;66
TrafficJam;467;67
TrafficJam;468;68
TrafficJam;469;69
TrafficJam;470;70
TrafficJam;471;71
TrafficJam;472;72
TrafficJam;473;73
TrafficJam;474;74
TrafficJam;475;75
TrafficJam;476;76
TrafficJam;477;77
TrafficJam;478;78
TrafficJam;479;79
TrafficJam;480;80
TrafficJam;481;81
