;ts;km;value;kmu;vu;tsu
Temp;1;1;1;0,1;0,1;1
Temp;2;2;2;0,1;0,1;1
Temp;3;3;3;0,1;0,1;1
Temp;4;4;4;0,1;0,1;1
Temp;5;5;5;0,1;0,1;1
Temp;6;6;6;0,1;0,1;1
Temp;7;7;7;0,1;0,1;1
Temp;8;8;8;0,1;0,1;1
Temp;9;9;9;0,1;0,1;1
Temp;10;10;10;0,1;0,1;1
Temp;11;11;11;0,1;0,1;1
Temp;12;12;12;0,1;0,1;1
Temp;13;13;13;0,1;0,1;1
Temp;14;14;14;0,1;0,1;1
Temp;15;15;15;0,1;0,1;1
Temp;16;16;16;0,1;0,1;1
Temp;17;17;17;0,1;0,1;1
Temp;18;18;18;0,1;0,1;1
Temp;19;19;19;0,1;0,1;1
Temp;20;20;20;0,1;0,1;1
Temp;21;21;21;0,1;0,1;1
Temp;22;22;22;0,1;0,1;1
Temp;23;23;23;0,1;0,1;1
Temp;24;24;24;0,1;0,1;1
Temp;25;25;25;0,1;0,1;1
Temp;26;26;26;0,1;0,1;1
Temp;27;27;27;0,1;0,1;1
Temp;28;28;28;0,1;0,1;1
Temp;29;29;29;0,1;0,1;1
Temp;30;30;30;0,1;0,1;1
Temp;31;31;31;0,1;0,1;1
Temp;32;32;32;0,1;0,1;1
Temp;33;33;33;0,1;0,1;1
Temp;34;34;34;0,1;0,1;1
Temp;35;35;35;0,1;0,1;1
Temp;36;36;36;0,1;0,1;1
Temp;37;37;37;0,1;0,1;1
Temp;38;38;38;0,1;0,1;1
Temp;39;39;39;0,1;0,1;1
Temp;40;40;40;0,1;0,1;1
Temp;41;41;41;0,1;0,1;1
Temp;42;42;42;0,1;0,1;1
Temp;43;43;43;0,1;0,1;1
Temp;44;44;44;0,1;0,1;1
Temp;45;45;45;0,1;0,1;1
Temp;46;46;46;0,1;0,1;1
Temp;47;47;47;0,1;0,1;1
Temp;48;48;48;0,1;0,1;1
Temp;49;49;49;0,1;0,1;1
Temp;50;50;50;0,1;0,1;1
Temp;51;51;51;0,1;0,1;1
Temp;52;52;52;0,1;0,1;1
Temp;53;53;53;0,1;0,1;1
Temp;54;54;54;0,1;0,1;1
Temp;55;55;55;0,1;0,1;1
Temp;56;56;56;0,1;0,1;1
Temp;57;57;57;0,1;0,1;1
Temp;58;58;58;0,1;0,1;1
Temp;59;59;59;0,1;0,1;1
Temp;60;60;60;0,1;0,1;1
Temp;61;61;61;0,1;0,1;1
Temp;62;62;62;0,1;0,1;1
Temp;63;63;63;0,1;0,1;1
Temp;64;64;64;0,1;0,1;1
Temp;65;65;65;0,1;0,1;1
Temp;66;66;66;0,1;0,1;1
Temp;67;67;67;0,1;0,1;1
Temp;68;68;68;0,1;0,1;1
Temp;69;69;69;0,1;0,1;1
Temp;70;70;70;0,1;0,1;1
Temp;71;71;71;0,1;0,1;1
Temp;72;72;72;0,1;0,1;1
Temp;73;73;73;0,1;0,1;1
Temp;74;74;74;0,1;0,1;1
Temp;75;75;75;0,1;0,1;1
Temp;76;76;76;0,1;0,1;1
Temp;77;77;77;0,1;0,1;1
Temp;78;78;78;0,1;0,1;1
Temp;79;79;79;0,1;0,1;1
Temp;80;80;80;0,1;0,1;1
Temp;81;81;81;0,1;0,1;1
Temp;82;82;82;0,1;0,1;1
Temp;83;83;83;0,1;0,1;1
Temp;84;84;84;0,1;0,1;1
Temp;85;85;85;0,1;0,1;1
Temp;86;86;86;0,1;0,1;1
Temp;87;87;87;0,1;0,1;1
Temp;88;88;88;0,1;0,1;1
Temp;89;89;89;0,1;0,1;1
Temp;90;90;90;0,1;0,1;1
Temp;91;91;91;0,1;0,1;1
Temp;92;92;92;0,1;0,1;1
Temp;93;93;93;0,1;0,1;1
Temp;94;94;94;0,1;0,1;1
Temp;95;95;95;0,1;0,1;1
Temp;96;96;96;0,1;0,1;1
Temp;97;97;97;0,1;0,1;1
Temp;98;98;98;0,1;0,1;1
Temp;99;99;99;0,1;0,1;1
Temp;100;100;100;0,1;0,1;1
Temp;101;1;1;0,1;0,1;1
Temp;102;2;2;0,1;0,1;1
Temp;103;3;3;0,1;0,1;1
Temp;104;4;4;0,1;0,1;1
Temp;105;5;5;0,1;0,1;1
Temp;106;6;6;0,1;0,1;1
Temp;107;7;7;0,1;0,1;1
Temp;108;8;8;0,1;0,1;1
Temp;109;9;9;0,1;0,1;1
Temp;110;10;10;0,1;0,1;1
Temp;111;11;11;0,1;0,1;1
Temp;112;12;12;0,1;0,1;1
Temp;113;13;13;0,1;0,1;1
Temp;114;14;14;0,1;0,1;1
Temp;115;15;15;0,1;0,1;1
Temp;116;16;16;0,1;0,1;1
Temp;117;17;17;0,1;0,1;1
Temp;118;18;18;0,1;0,1;1
Temp;119;19;19;0,1;0,1;1
Temp;120;20;20;0,1;0,1;1
Temp;121;21;21;0,1;0,1;1
Temp;122;22;22;0,1;0,1;1
Temp;123;23;23;0,1;0,1;1
Temp;124;24;24;0,1;0,1;1
Temp;125;25;25;0,1;0,1;1
Temp;126;26;26;0,1;0,1;1
Temp;127;27;27;0,1;0,1;1
Temp;128;28;28;0,1;0,1;1
Temp;129;29;29;0,1;0,1;1
Temp;130;30;30;0,1;0,1;1
Temp;131;31;31;0,1;0,1;1
Temp;132;32;32;0,1;0,1;1
Temp;133;33;33;0,1;0,1;1
Temp;134;34;34;0,1;0,1;1
Temp;135;35;35;0,1;0,1;1
Temp;136;36;36;0,1;0,1;1
Temp;137;37;37;0,1;0,1;1
Temp;138;38;38;0,1;0,1;1
Temp;139;39;39;0,1;0,1;1
Temp;140;40;40;0,1;0,1;1
Temp;141;41;41;0,1;0,1;1
Temp;142;42;42;0,1;0,1;1
Temp;143;43;43;0,1;0,1;1
Temp;144;44;44;0,1;0,1;1
Temp;145;45;45;0,1;0,1;1
Temp;146;46;46;0,1;0,1;1
Temp;147;47;47;0,1;0,1;1
Temp;148;48;48;0,1;0,1;1
Temp;149;49;49;0,1;0,1;1
Temp;150;50;50;0,1;0,1;1
Temp;151;51;51;0,1;0,1;1
Temp;152;52;52;0,1;0,1;1
Temp;153;53;53;0,1;0,1;1
Temp;154;54;54;0,1;0,1;1
Temp;155;55;55;0,1;0,1;1
Temp;156;56;56;0,1;0,1;1
Temp;157;57;57;0,1;0,1;1
Temp;158;58;58;0,1;0,1;1
Temp;159;59;59;0,1;0,1;1
Temp;160;60;60;0,1;0,1;1
Temp;161;61;61;0,1;0,1;1
Temp;162;62;62;0,1;0,1;1
Temp;163;63;63;0,1;0,1;1
Temp;164;64;64;0,1;0,1;1
Temp;165;65;65;0,1;0,1;1
Temp;166;66;66;0,1;0,1;1
Temp;167;67;67;0,1;0,1;1
Temp;168;68;68;0,1;0,1;1
Temp;169;69;69;0,1;0,1;1
Temp;170;70;70;0,1;0,1;1
Temp;171;71;71;0,1;0,1;1
Temp;172;72;72;0,1;0,1;1
Temp;173;73;73;0,1;0,1;1
Temp;174;74;74;0,1;0,1;1
Temp;175;75;75;0,1;0,1;1
Temp;176;76;76;0,1;0,1;1
Temp;177;77;77;0,1;0,1;1
Temp;178;78;78;0,1;0,1;1
Temp;179;79;79;0,1;0,1;1
Temp;180;80;80;0,1;0,1;1
Temp;181;81;81;0,1;0,1;1
Temp;182;82;82;0,1;0,1;1
Temp;183;83;83;0,1;0,1;1
Temp;184;84;84;0,1;0,1;1
Temp;185;85;85;0,1;0,1;1
Temp;186;86;86;0,1;0,1;1
Temp;187;87;87;0,1;0,1;1
Temp;188;88;88;0,1;0,1;1
Temp;189;89;89;0,1;0,1;1
Temp;190;90;90;0,1;0,1;1
Temp;191;91;91;0,1;0,1;1
Temp;192;92;92;0,1;0,1;1
Temp;193;93;93;0,1;0,1;1
Temp;194;94;94;0,1;0,1;1
Temp;195;95;95;0,1;0,1;1
Temp;196;96;96;0,1;0,1;1
Temp;197;97;97;0,1;0,1;1
Temp;198;98;98;0,1;0,1;1
Temp;199;99;99;0,1;0,1;1
Temp;200;100;100;0,1;0,1;1
Temp;201;1;1;0,1;0,1;1
Temp;202;2;2;0,1;0,1;1
Temp;203;3;3;0,1;0,1;1
Temp;204;4;4;0,1;0,1;1
Temp;205;5;5;0,1;0,1;1
Temp;206;6;6;0,1;0,1;1
Temp;207;7;7;0,1;0,1;1
Temp;208;8;8;0,1;0,1;1
Temp;209;9;9;0,1;0,1;1
Temp;210;10;10;0,1;0,1;1
Temp;211;11;11;0,1;0,1;1
